@relation jAudio
@ATTRIBUTE "Spectral Centroid0" NUMERIC
@ATTRIBUTE "Spectral Rolloff Point0" NUMERIC
@ATTRIBUTE "Spectral Flux0" NUMERIC
@ATTRIBUTE "Compactness0" NUMERIC
@ATTRIBUTE "Spectral Variability0" NUMERIC
@ATTRIBUTE "Root Mean Square0" NUMERIC
@ATTRIBUTE "Fraction Of Low Energy Windows0" NUMERIC
@ATTRIBUTE "Zero Crossings0" NUMERIC
@ATTRIBUTE "Strongest Beat0" NUMERIC
@ATTRIBUTE "Beat Sum0" NUMERIC
@ATTRIBUTE "Strength Of Strongest Beat0" NUMERIC
@ATTRIBUTE "LPC0" NUMERIC
@ATTRIBUTE "LPC1" NUMERIC
@ATTRIBUTE "LPC2" NUMERIC
@ATTRIBUTE "LPC3" NUMERIC
@ATTRIBUTE "LPC4" NUMERIC
@ATTRIBUTE "LPC5" NUMERIC
@ATTRIBUTE "LPC6" NUMERIC
@ATTRIBUTE "LPC7" NUMERIC
@ATTRIBUTE "LPC8" NUMERIC
@ATTRIBUTE "LPC9" NUMERIC
@ATTRIBUTE "Method of Moments0" NUMERIC
@ATTRIBUTE "Method of Moments1" NUMERIC
@ATTRIBUTE "Method of Moments2" NUMERIC
@ATTRIBUTE "Method of Moments3" NUMERIC
@ATTRIBUTE "Method of Moments4" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs0" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs1" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs2" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs3" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs4" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs5" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs6" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs7" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs8" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs9" NUMERIC

@DATA
1.209E2,8.828E-1,?,6.334E2,1.063E-3,1.154E-1,?,9.7E1,?,?,?,5.779E-2,-7.366E-2,-5.42E-2,-9.964E-2,1.809E-1,-2.619E-2,2.261E-2,6.524E-2,7.054E-2,0E0,5.513E-1,1.254E2,5.988E3,2.69E4,6.03E7,?,?,?,?,?,?,?,?,?,?
1.104E2,7.969E-1,?,6.534E2,1.895E-3,1.642E-1,?,1.03E2,?,?,?,-7.821E-2,-3.648E-2,4.476E-2,1.023E-1,3.259E-2,-6.976E-2,-7.734E-2,-9.789E-3,8.625E-2,0E0,8.875E-1,1.203E2,5.699E3,9.573E4,5.704E7,?,?,?,?,?,?,?,?,?,?
1.028E2,7.461E-1,?,6.395E2,1.06E-3,9.147E-2,?,1.08E2,?,?,?,-1.446E-1,4.412E-2,-6.833E-2,1.394E-1,-6.687E-2,-1.759E-2,3.474E-2,8.112E-2,3.476E-2,0E0,5.686E-1,1.133E2,5.224E3,7.858E4,5.037E7,?,?,?,?,?,?,?,?,?,?
1.361E2,8.477E-1,?,5.512E2,2.141E-3,2.053E-1,?,1.13E2,?,?,?,-7.177E-2,-1.077E-1,-1.956E-1,-1.464E-1,-4.086E-3,-1.006E-2,-1.188E-1,5.497E-2,4.456E-2,0E0,1.04E0,1.318E2,5.507E3,-6.872E4,5.429E7,?,?,?,?,?,?,?,?,?,?
1.275E2,8.672E-1,?,7.395E2,1.607E-3,1.473E-1,?,1.16E2,?,?,?,1.127E-2,3.35E-2,7.741E-2,-2.88E-2,-2.222E-1,1.058E-2,-2.788E-2,1.579E-1,4.874E-4,0E0,7.678E-1,1.254E2,5.157E3,3.141E4,5.053E7,?,?,?,?,?,?,?,?,?,?
1.487E2,8.789E-1,?,5.082E2,1.359E-3,1.109E-1,?,1.26E2,?,?,?,1.578E-1,-4.127E-3,-1.552E-2,-3.858E-2,1.717E-2,7.049E-2,-6.855E-2,2.067E-2,6.334E-2,0E0,6.819E-1,1.372E2,5.475E3,-6.157E4,5.447E7,?,?,?,?,?,?,?,?,?,?
9.965E1,6.875E-1,?,7.92E2,1.867E-3,1.65E-1,?,1.13E2,?,?,?,-2.082E-1,6.946E-2,-3.066E-2,-1.635E-2,5.873E-3,-3.643E-2,-5.757E-3,-2.11E-2,-5.198E-2,0E0,8.977E-1,1.132E2,4.984E3,7.068E4,4.851E7,?,?,?,?,?,?,?,?,?,?
1.389E2,8.594E-1,?,6.674E2,1.469E-3,1.331E-1,?,1.17E2,?,?,?,1.207E-1,4.753E-2,-5.552E-2,-6.354E-2,-1.072E-1,4.888E-2,5.584E-2,1.006E-1,-4.932E-2,0E0,7.303E-1,1.348E2,5.44E3,-1.005E5,5.513E7,?,?,?,?,?,?,?,?,?,?
1.224E2,8.008E-1,?,7.221E2,1.737E-3,1.661E-1,?,1.07E2,?,?,?,-3.488E-2,8.183E-3,-2.186E-2,2.399E-2,4.893E-3,2.967E-2,6.727E-3,2.971E-3,-2.695E-2,0E0,8.625E-1,1.258E2,5.615E3,-1.796E4,5.513E7,?,?,?,?,?,?,?,?,?,?
1.215E2,9.141E-1,?,5.481E2,9.603E-4,8.14E-2,?,1.06E2,?,?,?,-1.187E-1,-1.731E-2,2.25E-2,4.876E-2,6.957E-2,-7.176E-2,1.042E-1,-1.367E-1,-6.463E-2,0E0,4.291E-1,1.247E2,5.898E3,6.441E4,5.951E7,?,?,?,?,?,?,?,?,?,?
