@relation jAudio
@ATTRIBUTE "Spectral Centroid0" NUMERIC
@ATTRIBUTE "Spectral Rolloff Point0" NUMERIC
@ATTRIBUTE "Spectral Flux0" NUMERIC
@ATTRIBUTE "Compactness0" NUMERIC
@ATTRIBUTE "Spectral Variability0" NUMERIC
@ATTRIBUTE "Root Mean Square0" NUMERIC
@ATTRIBUTE "Fraction Of Low Energy Windows0" NUMERIC
@ATTRIBUTE "Zero Crossings0" NUMERIC
@ATTRIBUTE "Strongest Beat0" NUMERIC
@ATTRIBUTE "Beat Sum0" NUMERIC
@ATTRIBUTE "Strength Of Strongest Beat0" NUMERIC
@ATTRIBUTE "MFCC0" NUMERIC
@ATTRIBUTE "MFCC1" NUMERIC
@ATTRIBUTE "MFCC2" NUMERIC
@ATTRIBUTE "MFCC3" NUMERIC
@ATTRIBUTE "MFCC4" NUMERIC
@ATTRIBUTE "MFCC5" NUMERIC
@ATTRIBUTE "MFCC6" NUMERIC
@ATTRIBUTE "MFCC7" NUMERIC
@ATTRIBUTE "MFCC8" NUMERIC
@ATTRIBUTE "MFCC9" NUMERIC
@ATTRIBUTE "MFCC10" NUMERIC
@ATTRIBUTE "MFCC11" NUMERIC
@ATTRIBUTE "MFCC12" NUMERIC
@ATTRIBUTE "LPC0" NUMERIC
@ATTRIBUTE "LPC1" NUMERIC
@ATTRIBUTE "LPC2" NUMERIC
@ATTRIBUTE "LPC3" NUMERIC
@ATTRIBUTE "LPC4" NUMERIC
@ATTRIBUTE "LPC5" NUMERIC
@ATTRIBUTE "LPC6" NUMERIC
@ATTRIBUTE "LPC7" NUMERIC
@ATTRIBUTE "LPC8" NUMERIC
@ATTRIBUTE "LPC9" NUMERIC
@ATTRIBUTE "Method of Moments0" NUMERIC
@ATTRIBUTE "Method of Moments1" NUMERIC
@ATTRIBUTE "Method of Moments2" NUMERIC
@ATTRIBUTE "Method of Moments3" NUMERIC
@ATTRIBUTE "Method of Moments4" NUMERIC
@ATTRIBUTE "title" STRING
@ATTRIBUTE "xmpDM:artist" STRING
@ATTRIBUTE "xmpDM:composer" STRING
@ATTRIBUTE "xmpDM:genre" STRING
@ATTRIBUTE "xmpDM:album" STRING

@DATA
1.301E2,7.891E-1,?,1.423E2,2.972E-4,7.646E-2,?,4.7E1,?,?,?,-1.15E3,-8.527E-14,2.842E-14,-8.527E-14,5.684E-14,1.35E-13,9.948E-14,-8.527E-14,1.492E-13,-1.563E-13,-2.132E-14,-4.69E-13,8.527E-14,7.082E-2,2.196E-1,1.401E-1,1.123E-1,-9.96E-3,-8.472E-2,-1.827E-1,-1.551E-1,-1.553E-2,0E0,1.336E-1,1.341E2,3.937E3,3.096E4,3.257E7,Ritmo, Tambo y Flores,Various Artists,?,Pop,417/1 200 Clásicas de la Sonora Matancera
1.093E2,7.031E-1,?,7.443E2,9.166E-4,7.55E-2,?,9.6E1,?,?,?,-1.15E3,-8.527E-14,2.842E-14,-8.527E-14,5.684E-14,1.35E-13,9.948E-14,-8.527E-14,1.492E-13,-1.563E-13,-2.132E-14,-4.69E-13,8.527E-14,-9.571E-2,-1.126E-2,-1.28E-1,-5.962E-3,1.225E-1,8.463E-2,3.175E-2,8.445E-3,-4.75E-2,0E0,3.787E-1,1.165E2,5.122E3,4.881E4,5.181E7,Celio Gonzalez S.M.,Celio González,?,Salsa,
1.618E2,9.023E-1,?,6.327E2,1.598E-3,1.475E-1,?,1.32E2,?,?,?,-1.15E3,-8.527E-14,2.842E-14,-8.527E-14,5.684E-14,1.35E-13,9.948E-14,-8.527E-14,1.492E-13,-1.563E-13,-2.132E-14,-4.69E-13,8.527E-14,2.034E-1,3.495E-3,-8.126E-2,-2.847E-2,-9.029E-2,-3.814E-3,-4.521E-2,-1.233E-2,5.684E-2,0E0,7.943E-1,1.468E2,4.915E3,-1.295E5,4.98E7,Llamo Para Decirte,Miles Peña,?,Salsa,
1.184E2,8.594E-1,?,5.883E2,1.345E-3,1.122E-1,?,1.06E2,?,?,?,-1.15E3,-8.527E-14,2.842E-14,-8.527E-14,5.684E-14,1.35E-13,9.948E-14,-8.527E-14,1.492E-13,-1.563E-13,-2.132E-14,-4.69E-13,8.527E-14,2.961E-2,-8.077E-2,2.508E-3,-8.072E-2,1.422E-1,1.153E-1,-1.033E-1,3.808E-2,-1.625E-2,0E0,6.778E-1,1.23E2,5.729E3,2.983E4,5.647E7,Solo Un Recuerdo,La Mulenze,?,Salsa,Toco Madera
1.534E2,8.906E-1,?,7.405E2,1.462E-3,1.243E-1,?,1.27E2,?,?,?,-1.15E3,-8.527E-14,2.842E-14,-8.527E-14,5.684E-14,1.35E-13,9.948E-14,-8.527E-14,1.492E-13,-1.563E-13,-2.132E-14,-4.69E-13,8.527E-14,1.758E-1,1.157E-2,-9.723E-2,-3.018E-2,9.699E-2,-5.069E-2,3.016E-2,-4.472E-3,-3.469E-2,0E0,6.511E-1,1.398E2,5.388E3,-1.146E5,5.516E7,Poniendo el grito en el cielo,El Gran Combo de Puerto Rico,?,Salsa,35 Years Around the World (disc 1)
1.305E2,8.516E-1,?,6.257E2,1.175E-3,1.226E-1,?,1.25E2,?,?,?,-1.15E3,-8.527E-14,2.842E-14,-8.527E-14,5.684E-14,1.35E-13,9.948E-14,-8.527E-14,1.492E-13,-1.563E-13,-2.132E-14,-4.69E-13,8.527E-14,7.406E-2,-7.783E-3,-4.051E-2,1.23E-1,9.866E-2,2.818E-2,-2.507E-2,-8.286E-2,-1.51E-2,0E0,6.773E-1,1.291E2,5.487E3,-2.073E4,5.363E7,Guantanamera Meddley,Gilberto y Su Sexteto,?,Bogaloo,
1.273E2,8.086E-1,?,5.723E2,1.021E-3,1.177E-1,?,1.08E2,?,?,?,-1.15E3,-8.527E-14,2.842E-14,-8.527E-14,5.684E-14,1.35E-13,9.948E-14,-8.527E-14,1.492E-13,-1.563E-13,-2.132E-14,-4.69E-13,8.527E-14,4.272E-3,3.117E-2,9.434E-2,6.874E-2,-6.65E-3,2.243E-2,4.376E-2,8.239E-2,3.277E-2,0E0,5.818E-1,1.286E2,5.268E3,-1.254E4,5.231E7,La Traidora,Celia Crúz,?,Salsa,
1.255E2,8.242E-1,?,6.463E2,1.844E-3,1.607E-1,?,1.17E2,?,?,?,-1.15E3,-8.527E-14,2.842E-14,-8.527E-14,5.684E-14,1.35E-13,9.948E-14,-8.527E-14,1.492E-13,-1.563E-13,-2.132E-14,-4.69E-13,8.527E-14,6.362E-2,3.155E-3,-1.89E-2,-4.971E-2,8.613E-3,-2.226E-2,1.106E-1,-6.672E-2,-7.832E-2,0E0,9.538E-1,1.284E2,5.431E3,-2.751E4,5.506E7,El telegrama,Bobby Valentín,?,Salsa,La Gran Reunión
1.189E2,7.969E-1,?,6.585E2,1.129E-3,9.858E-2,?,1.06E2,?,?,?,-1.15E3,-8.527E-14,2.842E-14,-8.527E-14,5.684E-14,1.35E-13,9.948E-14,-8.527E-14,1.492E-13,-1.563E-13,-2.132E-14,-4.69E-13,8.527E-14,-3.981E-2,-8.392E-2,-4.542E-2,6.078E-2,2.157E-2,-4.293E-2,1.16E-2,-1.784E-2,2.018E-2,0E0,5.537E-1,1.245E2,5.46E3,7.229E2,5.336E7,Isla Nena Luis Perico Ortiz,Luis Perico Ortiz,?,Salsa,Salsa
1.232E2,8.398E-1,?,5.299E2,1.208E-3,1.179E-1,?,1.09E2,?,?,?,-1.15E3,-8.527E-14,2.842E-14,-8.527E-14,5.684E-14,1.35E-13,9.948E-14,-8.527E-14,1.492E-13,-1.563E-13,-2.132E-14,-4.69E-13,8.527E-14,-1.14E-1,2.602E-2,7.07E-2,3.036E-2,-1.507E-2,6.042E-2,-1.136E-1,-2.786E-2,-1.738E-2,0E0,5.776E-1,1.252E2,5.201E3,2.254E4,5.067E7,Morejon Frankie Hernandez,Frankie Hernández,?,Salsa,Salsa
1.378E2,8.438E-1,?,6.724E2,1.918E-3,1.667E-1,?,1.12E2,?,?,?,-1.15E3,-8.527E-14,2.842E-14,-8.527E-14,5.684E-14,1.35E-13,9.948E-14,-8.527E-14,1.492E-13,-1.563E-13,-2.132E-14,-4.69E-13,8.527E-14,-2.83E-2,2.695E-2,-8.796E-2,1.057E-1,-1.492E-2,-1.08E-1,1.64E-2,7.139E-2,-2.027E-1,0E0,8.619E-1,1.328E2,5.023E3,-2.313E4,4.731E7,Cometas,Bacalao Men,?,Salsa,S a L S a 2 0 1 2 2 0 1 3
1.373E2,8.086E-1,?,4.439E1,3.015E-4,1.299E-1,?,3.2E1,?,?,?,-1.15E3,-8.527E-14,2.842E-14,-8.527E-14,5.684E-14,1.35E-13,9.948E-14,-8.527E-14,1.492E-13,-1.563E-13,-2.132E-14,-4.69E-13,8.527E-14,1.839E-1,2.681E-2,-6.141E-2,1.742E-1,-3.365E-1,3.543E-1,2.593E-2,1.866E-1,2.059E-1,0E0,1.424E-1,1.298E2,4.886E3,-4.339E4,4.215E7,Carlos Muñoz,Limoncito,?,,DJ Caliche
1.42E2,8.711E-1,?,7.526E2,9.437E-4,1.093E-1,?,1.19E2,?,?,?,-1.15E3,-8.527E-14,2.842E-14,-8.527E-14,5.684E-14,1.35E-13,9.948E-14,-8.527E-14,1.492E-13,-1.563E-13,-2.132E-14,-4.69E-13,8.527E-14,8.09E-2,7.101E-2,-4.046E-2,-2.774E-2,8.152E-2,2.091E-2,6.552E-2,1.482E-1,-1.626E-1,0E0,4.943E-1,1.359E2,5.168E3,-5.128E4,4.871E7,Quitate De La Via Perico,Cortijo y su Combo,?,Salsa,Quitate de la Via Perico
1.225E2,8.203E-1,?,6.943E2,1.2E-3,1.163E-1,?,1.11E2,?,?,?,-1.15E3,-8.527E-14,2.842E-14,-8.527E-14,5.684E-14,1.35E-13,9.948E-14,-8.527E-14,1.492E-13,-1.563E-13,-2.132E-14,-4.69E-13,8.527E-14,-1.374E-2,-5.019E-2,2.089E-2,1.105E-1,9.473E-3,5.811E-4,-8.011E-2,1.536E-2,8.152E-2,0E0,6.509E-1,1.254E2,5.471E3,3.088E4,5.22E7,Agua pasada,El Gran Combo de Puerto Rico,J. Jiménez Chavo,Latin,Erupción
1.474E2,7.969E-1,?,8.018E2,2.581E-3,2.104E-1,?,1.19E2,?,?,?,-1.15E3,-8.527E-14,2.842E-14,-8.527E-14,5.684E-14,1.35E-13,9.948E-14,-8.527E-14,1.492E-13,-1.563E-13,-2.132E-14,-4.69E-13,8.527E-14,1.562E-1,2.313E-1,-1.856E-1,7.624E-2,-4.847E-2,2.913E-2,-8.322E-2,-6.724E-2,1.022E-1,0E0,1.197E0,1.369E2,4.94E3,-1.247E5,5.032E7,Yo soy la candela,Ray Barretto,?,Bogaloo,Descarga criolla
1.236E2,9.141E-1,?,7.137E2,9.916E-4,8.742E-2,?,1.16E2,?,?,?,-1.15E3,-8.527E-14,2.842E-14,-8.527E-14,5.684E-14,1.35E-13,9.948E-14,-8.527E-14,1.492E-13,-1.563E-13,-2.132E-14,-4.69E-13,8.527E-14,6.097E-2,-7.378E-2,8.807E-2,-1.428E-1,1.203E-1,3.4E-2,4.142E-2,6.205E-2,3.017E-2,0E0,4.534E-1,1.262E2,5.771E3,4.051E4,5.81E7,El Verano,Joe Arroyo,?,Salsa,Salsa
1.478E2,8.555E-1,?,6.973E2,1.043E-3,9.506E-2,?,9.3E1,?,?,?,-1.15E3,-8.527E-14,2.842E-14,-8.527E-14,5.684E-14,1.35E-13,9.948E-14,-8.527E-14,1.492E-13,-1.563E-13,-2.132E-14,-4.69E-13,8.527E-14,-8.95E-2,-7.437E-2,-2.256E-2,1.167E-1,-3.39E-2,2.576E-3,9.984E-2,5.406E-2,-2.446E-3,0E0,5.053E-1,1.392E2,5.041E3,-7.778E4,4.888E7,Abandonada FUE,Artist,?,Genre,Ismael Miranda CON LA Orchesta Jarlow (Abran PASO)
1.292E2,8.867E-1,?,7.198E2,1.102E-3,9.998E-2,?,1.08E2,?,?,?,-1.15E3,-8.527E-14,2.842E-14,-8.527E-14,5.684E-14,1.35E-13,9.948E-14,-8.527E-14,1.492E-13,-1.563E-13,-2.132E-14,-4.69E-13,8.527E-14,-3.014E-2,-3.016E-2,-9.554E-2,-8.324E-2,9.697E-2,-2.232E-2,5.657E-2,1.638E-1,1.692E-1,0E0,5.091E-1,1.308E2,5.698E3,-1.608E4,5.694E7,071-Rompiendo Las Reglas-Luis Perico Ortiz,Variados,?,Salsa,V E T E R a N O S D E L a S a L S A
1.344E2,8.828E-1,?,6.209E2,1.25E-3,1.173E-1,?,1.21E2,?,?,?,-1.15E3,-8.527E-14,2.842E-14,-8.527E-14,5.684E-14,1.35E-13,9.948E-14,-8.527E-14,1.492E-13,-1.563E-13,-2.132E-14,-4.69E-13,8.527E-14,3.546E-2,5.427E-2,4.606E-2,-3.558E-2,-4.31E-2,-1.737E-2,-3.941E-2,7.578E-3,4.828E-2,0E0,6.321E-1,1.314E2,5.574E3,-7.757E3,5.69E7,Esa Parte De Mi (Perdona),Gilberto Santa Rosa,?,Salsa,De Corazón
1.131E2,8.398E-1,?,7.044E2,1.191E-3,1.197E-1,?,1.09E2,?,?,?,-1.15E3,-8.527E-14,2.842E-14,-8.527E-14,5.684E-14,1.35E-13,9.948E-14,-8.527E-14,1.492E-13,-1.563E-13,-2.132E-14,-4.69E-13,8.527E-14,-6.593E-2,5.507E-2,1.333E-1,-1.321E-3,-9.99E-3,-3.134E-2,-2.105E-2,4.328E-2,-3.611E-2,0E0,5.896E-1,1.198E2,5.225E3,9.002E4,5.119E7,Dueña De Mi Inspiracion,Ismael Rivera,?,Salsa,Maelo: El Sonero Mayor
1.369E2,8.438E-1,?,6.555E2,1.221E-3,1.207E-1,?,1.22E2,?,?,?,-1.15E3,-8.527E-14,2.842E-14,-8.527E-14,5.684E-14,1.35E-13,9.948E-14,-8.527E-14,1.492E-13,-1.563E-13,-2.132E-14,-4.69E-13,8.527E-14,4.503E-3,4.392E-4,-9.687E-2,-2.86E-3,-2.112E-2,9.971E-2,-1.899E-2,1.521E-2,-4.604E-2,0E0,6.269E-1,1.333E2,4.832E3,-4.058E4,4.572E7,Coffe Break Luis Perico Ortiz,Luis Perico Ortiz,?,Salsa,Salsa
1.148E2,7.695E-1,?,5.594E2,1.058E-3,9.318E-2,?,1.12E2,?,?,?,-1.15E3,-8.527E-14,2.842E-14,-8.527E-14,5.684E-14,1.35E-13,9.948E-14,-8.527E-14,1.492E-13,-1.563E-13,-2.132E-14,-4.69E-13,8.527E-14,-1.391E-1,4.605E-2,3.822E-2,2.466E-2,-1.548E-2,-1.616E-2,-7.992E-2,-7.375E-2,-8.51E-3,0E0,5.428E-1,1.207E2,4.919E3,3.459E4,4.723E7,El Pescador,Johnny Pacheco,?,Pachanga,El Grande Pacheco Te Invitar A Bailar
1.274E2,9.062E-1,?,6.935E2,1.402E-3,1.313E-1,?,9.5E1,?,?,?,-1.15E3,-8.527E-14,2.842E-14,-8.527E-14,5.684E-14,1.35E-13,9.948E-14,-8.527E-14,1.492E-13,-1.563E-13,-2.132E-14,-4.69E-13,8.527E-14,-1.41E-1,1.982E-2,-3.275E-2,-2.363E-1,2.803E-2,-2.374E-2,3.656E-2,4.328E-2,-6.707E-2,0E0,7.357E-1,1.273E2,5.514E3,1.482E4,5.738E7,Pensando En Ti,Saxo Salsero,?,Salsa instrumental,Salsa Instrumental
